symbol,date,open,high,low,close,volume,marketCap
SAVE,"Oct 29, 2021",$0.0001,$0.0001001,$0.00009995,$0.0001,$2,$0
SAVE,"Oct 28, 2021",$0.0001001,$0.0001001,$0.0001,$0.0001,$2,$0
SAVE,"Oct 27, 2021",$0.0001,$0.0001002,$0.00009996,$0.0001001,$14,$0
SAVE,"Oct 26, 2021",$0.00009994,$0.0001001,$0.00009993,$0.0001,$13,$0
SAVE,"Oct 25, 2021",$0.0001,$0.0001001,$0.00009992,$0.00009995,$2,$0
SAVE,"Oct 24, 2021",$0.0001001,$0.0001001,$0.00009991,$0.0001,$2,$0
SAVE,"Oct 23, 2021",$0.00009999,$0.0001001,$0.00009998,$0.0001001,$2,$0
SAVE,"Oct 22, 2021",$0.0001,$0.0001,$0.00009996,$0.00009999,$2,$0
SAVE,"Oct 21, 2021",$0.00009999,$0.0001,$0.00009994,$0.0001,$63,$0
SAVE,"Oct 20, 2021",$0.0001,$0.0001001,$0.00009996,$0.00009999,$1,$0
SAVE,"Oct 19, 2021",$0.0001,$0.0001001,$0.00009995,$0.0001,$2,$0
SAVE,"Oct 18, 2021",$0.0001,$0.0001001,$0.00009993,$0.0001,$1,$0
SAVE,"Oct 17, 2021",$0.0001,$0.0001001,$0.00009995,$0.0001,$1,$0
SAVE,"Oct 16, 2021",$0.00009992,$0.0001,$0.0000999,$0.0001,$115,$0
SAVE,"Oct 15, 2021",$0.0001,$0.0001001,$0.0000999,$0.00009991,$114,$0
SAVE,"Oct 14, 2021",$0.0001,$0.0001,$0.00009997,$0.0001,$115,$0
SAVE,"Oct 13, 2021",$0.0001,$0.0001001,$0.00009995,$0.0001,$12,$0
SAVE,"Oct 12, 2021",$0.0001001,$0.0001001,$0.0001,$0.0001,$40,$0
SAVE,"Oct 11, 2021",$0.0001001,$0.0001001,$0.00009998,$0.0001001,$40,$0
SAVE,"Oct 10, 2021",$0.0001,$0.0001001,$0.00009995,$0.0001001,$40,$0
SAVE,"Oct 09, 2021",$0.0001,$0.0001,$0.00009999,$0.0001,$246,$0
SAVE,"Oct 08, 2021",$0.0001,$0.0001,$0.00009998,$0.0001,$246,$0
SAVE,"Oct 07, 2021",$0.0001,$0.0001001,$0.00009996,$0.0001,$103,$0
SAVE,"Oct 06, 2021",$0.0001,$0.0001001,$0.00009993,$0.0001,$103,$0
SAVE,"Oct 05, 2021",$0.00009998,$0.0001001,$0.00009995,$0.0001,$100,$0
SAVE,"Oct 04, 2021",$0.0001,$0.0001001,$0.00009994,$0.00009999,$100,$0
SAVE,"Oct 03, 2021",$0.0001,$0.0001001,$0.00009997,$0.0001,$60,$0
SAVE,"Oct 02, 2021",$0.0001,$0.0001001,$0.0001,$0.0001,$60,$0
SAVE,"Oct 01, 2021",$0.0001,$0.0001,$0.00009998,$0.0001,$60,$0
SAVE,"Sep 30, 2021",$0.0001,$0.0001001,$0.00009995,$0.0001,$60,$0
SAVE,"Sep 29, 2021",$0.0001,$0.0001001,$0.00009997,$0.0001,$54,$0
SAVE,"Sep 28, 2021",$0.0001001,$0.0001001,$0.0001,$0.0001,$5,$0
SAVE,"Sep 27, 2021",$0.0001001,$0.0001001,$0.00009999,$0.0001001,$3,$0
SAVE,"Sep 26, 2021",$0.0001001,$0.0001001,$0.0001,$0.0001001,$3,$0
