name,symbol,logo,historicalFile,url
Oasis Network,ROSE,ROSE.png,ROSE.csv,/currencies/oasis-network/
Constellation,DAG,DAG.png,DAG.csv,/currencies/constellation/
Orbs,ORBS,ORBS.png,ORBS.csv,/currencies/orbs/
MyNeighborAlice,ALICE,ALICE.png,ALICE.csv,/currencies/myneighboralice/
Stratis,STRAX,STRAX.png,STRAX.csv,/currencies/stratis/
Ark,ARK,ARK.png,ARK.csv,/currencies/ark/
Casper,CSPR,CSPR.png,CSPR.csv,/currencies/casper/
Badger DAO,BADGER,BADGER.png,BADGER.csv,/currencies/badger-dao/
Verasity,VRA,VRA.png,VRA.csv,/currencies/verasity/
Augur,REP,REP.png,REP.csv,/currencies/augur/
Enzyme,MLN,MLN.png,MLN.csv,/currencies/enzyme/
Token,FUN,FUN.png,FUN.csv,/currencies/funtoken/
Polkastarter,POLS,POLS.png,POLS.csv,/currencies/polkastarter/
Steem,STEEM,STEEM.png,STEEM.csv,/currencies/steem/
Syscoin,SYS,SYS.png,SYS.csv,/currencies/syscoin/
RSK Infrastructure Framework,RIF,RIF.png,RIF.csv,/currencies/rsk-infrastructure-framework/
Request,REQ,REQ.png,REQ.csv,/currencies/request/
,HEX,HEX.png,HEX.csv,/currencies/hex/
Lido stETH,STETH,STETH.png,STETH.csv,/currencies/steth/
Bitcoin Cash ABC,BCHA,BCHA.png,BCHA.csv,/currencies/bitcoin-cash-abc-2/
Wrapped BNB,WBNB,WBNB.png,WBNB.csv,/currencies/wbnb/
Huobi BTC,HBTC,HBTC.png,HBTC.csv,/currencies/huobi-btc/
Symbol,XYM,XYM.png,XYM.csv,/currencies/symbol/
Creditcoin,CTC,CTC.png,CTC.csv,/currencies/creditcoin/
The Transfer Token,TTT,TTT.png,TTT.csv,/currencies/the-transfer-token/
Wrapped NCG (Nine Chronicles Gold),WNCG,WNCG.png,WNCG.csv,/currencies/wrapped-ncg/
Ribbon Finance,RBN,RBN.png,RBN.csv,/currencies/ribbon-finance/
NewYork Exchange,NYE,NYE.png,NYE.csv,/currencies/newyork-exchange/
Presearch,PRE,PRE.png,PRE.csv,/currencies/presearch/
 Network,LGCY,LGCY.png,LGCY.csv,/currencies/lgcy-network/
Elitium,EUM,EUM.png,EUM.csv,/currencies/elitium/
Strong,STRONG,STRONG.png,STRONG.csv,/currencies/strong/
Litentry,LIT,LIT.png,LIT.csv,/currencies/litentry/
Shyft Network,SHFT,SHFT.png,SHFT.csv,/currencies/shyft-network/
Propy,PRO,PRO.png,PRO.csv,/currencies/propy/
ankrETH,aEth,aEth.png,aEth.csv,/currencies/ankreth/
,RAMP,RAMP.png,RAMP.csv,/currencies/ramp/
Sora,XOR,XOR.png,XOR.csv,/currencies/sora/
Streamr,DATA,DATA.png,DATA.csv,/currencies/streamr/
Dvision Network,DVI,DVI.png,DVI.csv,/currencies/dvision-network/
Tellor,TRB,TRB.png,TRB.csv,/currencies/tellor/
Firo,FIRO,FIRO.png,FIRO.csv,/currencies/firo/
Revolution Populi,RVP,RVP.png,RVP.csv,/currencies/revolution-populi/
Haven Protocol,XHV,XHV.png,XHV.csv,/currencies/haven-protocol/
,XSGD,XSGD.png,XSGD.csv,/currencies/xsgd/
Harvest Finance,FARM,FARM.png,FARM.csv,/currencies/harvest-finance/
,WHALE,WHALE.png,WHALE.csv,/currencies/whale/
Terra Virtua Kolect,TVK,TVK.png,TVK.csv,/currencies/terra-virtua-kolect/
district0x,DNT,DNT.png,DNT.csv,/currencies/district0x/
TrustSwap,SWAP,SWAP.png,SWAP.csv,/currencies/trustswap/
Rarible,RARI,RARI.png,RARI.csv,/currencies/rarible/
CertiK,CTK,CTK.png,CTK.csv,/currencies/certik/
Zenon,ZNN,ZNN.png,ZNN.csv,/currencies/zenon/
Chimpion,BNANA,BNANA.png,BNANA.csv,/currencies/chimpion/
inSure DeFi,SURE,SURE.png,SURE.csv,/currencies/insure/
Bella Protocol,BEL,BEL.png,BEL.csv,/currencies/bella-protocol/
,BSCPAD,BSCPAD.png,BSCPAD.csv,/currencies/bscpad/
Edgeware,EDG,EDG.png,EDG.csv,/currencies/edgeware/
Akropolis,AKRO,AKRO.png,AKRO.csv,/currencies/akropolis/
Carry,CRE,CRE.png,CRE.csv,/currencies/carry/
Unifi Protocol DAO,UNFI,UNFI.png,UNFI.csv,/currencies/unifi-protocol-dao/
UBIX.Network,UBX,UBX.png,UBX.csv,/currencies/ubix-network/
hain,GXC,GXC.png,GXC.csv,/currencies/gxchain/
Belt Finance,BELT,BELT.png,BELT.csv,/currencies/belt/
Safe,SAFE,SAFE.png,SAFE.csv,/currencies/safe/
Ultiledger,ULT,ULT.png,ULT.csv,/currencies/ultiledger/
Poseidon Network,QQQ,QQQ.png,QQQ.csv,/currencies/poseidon-network/
v.systems,VSYS,VSYS.png,VSYS.csv,/currencies/v-systems/
,AXEL,AXEL.png,AXEL.csv,/currencies/axel/
Nexus,NXS,NXS.png,NXS.csv,/currencies/nexus/
AhaToken,AHT,AHT.png,AHT.csv,/currencies/ahatoken/
Polychain Monsters,PMON,PMON.png,PMON.csv,/currencies/polkamon/
Aeternity,AE,AE.png,AE.csv,/currencies/aeternity/
,MAPS,MAPS.png,MAPS.csv,/currencies/maps/
,PIVX,PIVX.png,PIVX.csv,/currencies/pivx/
CargoX,CXO,CXO.png,CXO.csv,/currencies/cargox/
.Finance,APY,APY.png,APY.csv,/currencies/apy-finance/
 Protocol,MAP,MAP.png,MAP.csv,/currencies/map-protocol/
Aidos Kuneen,ADK,ADK.png,ADK.csv,/currencies/aidos-kuneen/
Smartlands Network,SLT,SLT.png,SLT.csv,/currencies/smartlands-network/
ChainX,PCX,PCX.png,PCX.csv,/currencies/chainx/
,VITE,VITE.png,VITE.csv,/currencies/vite/
PlatonCoin,PLTC,PLTC.png,PLTC.csv,/currencies/platoncoin/
Efinity Token,EFI,EFI.png,EFI.csv,/currencies/efinity/
 Coin,AMO,AMO.png,AMO.csv,/currencies/amo-coin/
CoinEx Token,CET,CET.png,CET.csv,/currencies/coinex-token/
.eco,PERL,PERL.png,PERL.csv,/currencies/perlin/
BabySwap,BABY,BABY.png,BABY.csv,/currencies/babyswap/
Shopping,SPI,SPI.png,SPI.csv,/currencies/shopping/
DeXe,DEXE,DEXE.png,DEXE.csv,/currencies/dexe/
Lightning,LIGHT,LIGHT.png,LIGHT.csv,/currencies/lightning/
Quantstamp,QSP,QSP.png,QSP.csv,/currencies/quantstamp/
Fusion,FSN,FSN.png,FSN.csv,/currencies/fusion/
New BitShares,NBS,NBS.png,NBS.csv,/currencies/new-bitshares/
Electra Protocol,XEP,XEP.png,XEP.csv,/currencies/electra-protocol/
Sentivate,SNTVT,SNTVT.png,SNTVT.csv,/currencies/sentivate/
Switcheo,SWTH,SWTH.png,SWTH.csv,/currencies/switcheo/
Peercoin,PPC,PPC.png,PPC.csv,/currencies/peercoin/
Emirex Token,EMRX,EMRX.png,EMRX.csv,/currencies/emirex-token/
Adora Token,ARA,ARA.png,ARA.csv,/currencies/adora-token/
Decentr,DEC,DEC.png,DEC.csv,/currencies/decentr/
Pepe Cash,PEPECASH,PEPECASH.png,PEPECASH.csv,/currencies/pepe-cash/
LBRY Credits,LBC,LBC.png,LBC.csv,/currencies/library-credits/
Ondori,RSTR,RSTR.png,RSTR.csv,/currencies/ondori/
Tokamak Network,TON,TON.png,TON.csv,/currencies/tokamak-network/
Poolz Finance,POOLZ,POOLZ.png,POOLZ.csv,/currencies/poolz-finance/
Crypterium,CRPT,CRPT.png,CRPT.csv,/currencies/crpt/
Misbloc,MSB,MSB.png,MSB.csv,/currencies/misbloc/
Ambrosus,AMB,AMB.png,AMB.csv,/currencies/amber/
EOS Force,EOSC,EOSC.png,EOSC.csv,/currencies/eos-force/
Router Protocol,ROUTE,ROUTE.png,ROUTE.csv,/currencies/router-protocol/
Hiveterminal Token,HVN,HVN.png,HVN.csv,/currencies/hiveterminal-token/
 VR,CEEK,CEEK.png,CEEK.csv,/currencies/ceek-vr/
OneLedger,OLT,OLT.png,OLT.csv,/currencies/oneledger/
PolkaBridge,PBR,PBR.png,PBR.csv,/currencies/polkabridge/
Project Pai,PAI,PAI.png,PAI.csv,/currencies/project-pai/
Nucleus Vision,NCASH,NCASH.png,NCASH.csv,/currencies/nucleus-vision/
Bitcoin 2,BTC2,BTC2.png,BTC2.csv,/currencies/bitcoin2/
Cellframe,CELL,CELL.png,CELL.csv,/currencies/cellframe/
Wabi,WABI,WABI.png,WABI.csv,/currencies/wabi/
YF Link,YFL,YFL.png,YFL.csv,/currencies/yflink/
Doge Dash,DOGEDASH,DOGEDASH.png,DOGEDASH.csv,/currencies/doge-dash/
PlatON,LAT,LAT.png,LAT.csv,/currencies/platon/
YSIA,EL,EL.png,EL.csv,/currencies/elysia/
Govi,GOVI,GOVI.png,GOVI.csv,/currencies/govi/
